label,len,qr,count_queries,qry_type,qry_name_enthropy,qry_name_len,count_labels,resp_type,resp_ttl,resp_len,count_auth_rr,count_add_rr,count_answers,count_rtypes
1,290,0,1,16,5.86514947700949,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.779161088671663,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.753410048421749,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.743550129271515,244,11,0,0,0,0,0,0,0
1,289,0,1,16,5.81569007333003,243,11,0,0,0,0,0,0,0
1,290,0,1,16,5.806399140951791,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.719406554783756,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.754960419820708,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.819271746833285,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.7954944993778,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.813033332875203,244,11,0,0,0,0,0,0,0
1,289,0,1,16,5.812609706622436,243,11,0,0,0,0,0,0,0
1,290,0,1,16,5.783657173325529,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.736286152586096,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.7436530587218435,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.731248857230225,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.792223613617838,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.796402097259861,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.817832835238686,244,11,0,0,0,0,0,0,0
1,289,0,1,16,5.745533178184864,243,11,0,0,0,0,0,0,0
1,290,0,1,16,5.7751718475403315,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.801648189070009,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.812226009196675,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.762653235163273,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.761921433191445,244,11,0,0,0,0,0,0,0
1,289,0,1,16,5.779766441404367,243,11,0,0,0,0,0,0,0
1,290,0,1,16,5.855206812286189,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.815064943207134,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.799864940925082,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.809818851396987,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.765730197852632,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.84658373202562,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.819985125810461,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.850830777938491,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.770369454243542,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.758655463677903,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.817223062265829,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.766995356726426,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.815652224682787,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.776906309517044,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.840994656773126,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.725754167546564,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.833793589410368,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.865821937145953,244,11,0,0,0,0,0,0,0
